"","id","avr_age","avr_household_size","avr_education_level","avr_num_cars","avr_health","rented_percent","unemployment_percent","internet_percent","single_percent","married_percent","separated_percent","divorced_percent","widow_percent"
"17075","268060006",41.8314606741573,2.68316831683168,6.02439024390244,1.35643564356436,4.65909090909091,6,2.39234449760766,75.7575757575758,47.940074906367,43.4456928838951,1.49812734082397,0.374531835205993,6.74157303370786
"16653","268027003",31.2980132450331,1.94936708860759,7.31818181818182,1.21518987341772,4.69594594594595,54.4303797468354,6.06060606060606,92.4050632911392,66.2251655629139,30.4635761589404,0,1.98675496688742,1.32450331125828
"16654","268027004",33.3114754098361,1.89230769230769,7.03488372093023,1.04615384615385,4.775,56.25,7.54716981132075,89.0625,61.4754098360656,28.6885245901639,6.55737704918033,1.63934426229508,1.63934426229508
"14300","267040003",26.7985611510791,2.58558558558559,5.84971098265896,1.4018691588785,4.57037037037037,71.8446601941748,14.0969162995595,93.1372549019608,71.2230215827338,25.1798561151079,1.43884892086331,1.79856115107914,0.359712230215827
"14306","267040009",35.0643939393939,3.12790697674419,4.74375,1.56976744186047,4.57692307692308,19.7674418604651,9.72222222222222,96.5116279069768,53.7878787878788,39.7727272727273,1.89393939393939,2.27272727272727,2.27272727272727
"14305","267040008",35.9380165289256,3.06172839506173,4.6,1.55555555555556,4.48333333333333,23.75,12.565445026178,90,50.4132231404959,43.801652892562,2.47933884297521,0.826446280991736,2.47933884297521
"14313","267040016",31.3527508090615,3.00961538461538,4.95402298850575,1.36538461538462,4.48692810457516,21.3592233009709,10.5932203389831,85.5769230769231,62.1359223300971,33.3333333333333,1.94174757281553,1.29449838187702,1.29449838187702
"17208","268070019",41.1231343283582,2.20661157024793,3.60975609756098,0.87603305785124,4.3955223880597,16.5289256198347,13.4259259259259,61.9834710743802,58.5820895522388,27.6119402985075,2.23880597014925,2.98507462686567,8.58208955223881
"16892","268045002",37.3850574712644,2.05813953488372,5.88461538461539,1.01162790697674,4.58720930232558,47.6744186046512,7.05128205128205,73.2558139534884,63.2183908045977,24.7126436781609,3.44827586206897,3.44827586206897,5.17241379310345
"16910","268046013",38.6416666666667,1.54430379746835,6.01041666666667,0.79746835443038,4.47457627118644,62.0253164556962,2.83018867924528,78.4810126582278,72.5,15.8333333333333,4.16666666666667,5.83333333333333,1.66666666666667
"16914","268047003",40.027397260274,2.56179775280899,2.80701754385965,0.876404494382023,4.42465753424658,10.2272727272727,15.1162790697674,66.2790697674419,57.5342465753425,32.4200913242009,3.65296803652968,1.82648401826484,4.5662100456621
"14304","267040007",32.6292517006803,3.28723404255319,5.07182320441989,1.54255319148936,4.5958904109589,26.8817204301075,11.0132158590308,84.9462365591398,55.1020408163265,41.4965986394558,1.36054421768707,0.680272108843537,1.36054421768707
"16395","268006032",29.251256281407,2.27906976744186,7.06617647058824,1.26744186046512,4.71065989847716,34.8837209302326,3.68098159509202,92.9411764705882,57.286432160804,37.1859296482412,2.51256281407035,2.01005025125628,1.00502512562814
"17211","268070022",45.9131652661064,2.49438202247191,4.17991631799163,0.955056179775281,4.24089635854342,31.4606741573034,4.96688741721854,88.7640449438202,65.8263305322129,18.4873949579832,1.96078431372549,1.68067226890756,12.0448179271709
"16697","268030012",34.9377990430622,2.34444444444444,4.97241379310345,1.11111111111111,4.56459330143541,29.2134831460674,9.6969696969697,88.8888888888889,63.1578947368421,25.8373205741627,4.78468899521531,5.26315789473684,0.956937799043062
